NCTC_9043	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9042	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9041	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9040	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9039	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9038	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9037	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9036	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9035	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9034	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9033	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9032	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9031	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9030	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9029	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9028	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9027	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9026	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9024	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9023	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9022	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9021	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9020	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9019	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9018	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9017	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9016	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9015	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9014	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9013	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9012	escherichia_coli_serotypes:_o_antigen_series				
